Species,Tissue Class,Tissue Type,Cancer,Cell Type,Cell Marker,Source,Supported Sources,Details
Mouse,Brain,Brain,Normal cell,Conventional dendritic cell 2(cDC2),Irf4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,T helper 17(Th17) cell,Irf4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Irf5,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Conventional dendritic cell 1(cDC1),Irf8,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Irf8,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,Monocyte progenitor cell,IRF8,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Irgm1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Irs1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Irs2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Isg15,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,Striatal inhibitory neuron,Isl1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Islr2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Isoc2b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Isyna1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Itga1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Megakaryocyte progenitor cell,ITGA2B,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,von Economo neuron(VEN),ITGA4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Itga6,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Itga7,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Dendritic cell,Itgae,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Itgam,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Itgam,Experiment,8,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Itgax,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Itgax,Experiment,3,DETAIL
Mouse,Brain,Brain,Normal cell,Monocyte,Itgax,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Itgb2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Itgb3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Itgb8,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Itih5,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,ITM2A,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Itm2c,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Itpka,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Pyramidal cell,Itpka,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Itpkb,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Itpr2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Itpr3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Itsn2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Ivd,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Jak1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Jak2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Jak3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,NG2-glia cell,JAM-A,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neural stem cell,JAM-C,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Jam2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Jam2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Jam3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Jmy,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Josd2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kalrn,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Kank1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kank2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kat2a,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kat5,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Katnal1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Kazn,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kbtbd11,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Kbtbd7,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kcna4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Kcnab1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,GABAergic neuron,Kcnc1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Kcnd1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Kcnd2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kcne1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kcnj10,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Choroid plexus cell,Kcnj13,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Pericyte,Kcnj8,Experiment,3,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kcnn2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kcnq1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kcnq2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kcnq4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Pyramidal cell,Kcnv1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kct2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Kctd12,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Kctd12b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kctd15,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Kctd4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kctd5,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kdm2b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kdm4a,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kdm4b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kdm5a,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kdm5b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Kdr,Experiment,3,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Kdr,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Khdrbs2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Khk,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cycling cell,KI67,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Ki67,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Natural killer cell,Ki67,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Ki67,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Proliferative cell,Ki67,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,T cell,Ki67,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kiaa0100,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kiaa0907,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kiaa1109,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kiaa1161,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kiaa1524,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Kiaa1549,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kiaa1598,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kidins220,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kif11,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Kif13a,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Kif15,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kif1b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kif1c,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kif21b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kif22,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kif4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kif5c,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kifc5b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Choroid plexus cell,Kl,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,Red blood cell (erythrocyte),KLF1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Klf12,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Klhdc4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Klhdc8b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Klhl25,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Natural killer cell,Klrb1c,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Effector CD8 T cell,Klrg1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Natural killer cell,KLRG1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Short-lived effector cell (SLEC),KLRG1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,T cell,KLRG1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kmt2a,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Kmt2b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Kncj10,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Kndc1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,KRT19,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Krt33a,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Horizontal basal cell,Krt5,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mesenchymal stem cell,KRT8,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Immature stem cell,L1cam,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,L1cam,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,L3hypdh,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lacc1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lactb2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Natural killer cell,LAG3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lama4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lamb1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lamb2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lamc1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lamp2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lats1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Lchn,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lclat1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Choroid cell,LCN2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lcn2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neutrophil,Lcn2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Lcorl,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lcp1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lcp2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Ldh111,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Ldlr,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Lef1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lepre1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Radial glia like cell,Lfng,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lgals1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lgals3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lgals3bp,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lgals8,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lgals9,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lgalsl,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mesoderm cell,Lgfbp7,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Lgi3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lgmn,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Interneuron,Lhfpl4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,LHX3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,GABAergic neuron,Lhx6,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Migrating interneuron,Lhx6,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Somatostatin GABAergic neuron,Lhx6,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lifr,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lig1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Infiltrating macrophage,Lilra6,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Limch1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Limd1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Limd2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lingo1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lipa,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lipo1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Llph,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Lmcd1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Dopaminergic neuron,Lmx1b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lonrf2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Radial glia like cell,Lpar1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lpcat2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lpcat3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lpcat4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lpgat1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lphn1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Lphn3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lpl,Experiment,4,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lpp,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lppr3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lppr4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lpxn,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lrch1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lrch2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lrch3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lrig1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lrmp,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lrp4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lrp8,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lrrc16a,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lrrc8a,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lrrc8c,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lrrfip1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Lrrn1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Lsamp,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lsm14b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lsm5,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lsp1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Ltc4s,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Ltf,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Luc7l,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Lxn,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Infiltrating macrophage,Ly6C,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Inflammatory macrophage,Ly6C,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Monocyte-derived macrophage,Ly6C,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Plasmacytoid dendritic cell(pDC),Ly6C,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Ly6c1,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,Monocyte,Ly6c2,Experiment,4,DETAIL
Mouse,Brain,Brain,Normal cell,Monocyte-derived cell,Ly6c2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Monocyte-derived macrophage,Ly6c2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Plasmacytoid dendritic cell(pDC),Ly6c2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neutrophil,Ly6g,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Ly86,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,Monocyte progenitor cell,LY86,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lyn,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,LYPD2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lyrm7,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Border-associated macrophage,Lyve1,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,Central nervous system-associated macrophage,Lyve1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Lymphatic endothelial cell,Lyve1,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Lyve1,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,Monocyte,LYZ,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Lyz2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Lyz2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Monocyte,Lyz2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Lzts1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Mab21l1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,MAC2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Mac2,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,Monocyte,MAC2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Macf1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Macrod2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Mad2l1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Madd,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Somatostatin GABAergic neuron,Maf,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Myelinating oligodendrocyte,Mag,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Mag,Experiment,6,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Magi2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Magt1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mature oligodendrocyte,Mal,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Man1c1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Man2a1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Man2b1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Man2b2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Manba,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Maoa,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Maoa,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Maob,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Map1a,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Map1lc3b,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Map2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mature neuron,MAP2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Map2,Experiment,6,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Map3k4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Map4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Map4k3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Map9,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Mapk14,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Mapk8,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Mapkap1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Mapkapk2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Mapt,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,2-Mar,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Mark1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Mash1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Mast4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Matn4,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Mavs,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Mb21d2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Mbnl1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Mbnl2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Mboat2,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mature oligodendrocyte,Mbp,Experiment,3,DETAIL
Mouse,Brain,Brain,Normal cell,Myelinating oligodendrocyte,Mbp,Experiment,2,DETAIL
Mouse,Brain,Brain,Normal cell,Myelinating stem cell,Mbp,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Mbp,Experiment,8,DETAIL
Mouse,Brain,Brain,Normal cell,Schwann cell,MBP,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Mcc,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Mcee,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Mcoln3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Med10,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Med14,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Mef2c,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neural stem cell,Meg3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Meg3,Experiment,4,DETAIL
Mouse,Brain,Brain,Normal cell,Progenitor cell,Meg3,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Meis1,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Activation myeloid cell,MerTK,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Conventional dendritic cell(cDC),MERTK,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Functional myeloid cell,MerTK,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Mertk,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Mex3a,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Mex3d,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Mfge8,Experiment,1,DETAIL
Mouse,Brain,Brain,Normal cell,Early GABAergic neuron,Mfng,Experiment,1,DETAIL
